SampleID	Type
KORA-94922	KORA
KORA-12467	KORA
KORA-65303	KORA
KORA-86266	KORA
KORA-69854	KORA
KORA-99275	KORA
KORA-31792	KORA
KORA-78727	KORA
KORA-85396	KORA
KORA-84481	KORA
KORA-55321	KORA
KORA-35920	KORA
KORA-74566	KORA
KORA-90153	KORA
KORA-24403	KORA
KORA-30112	KORA
KORA-13140	KORA
KORA-10636	KORA
KORA-59915	KORA
KORA-10295	KORA
KORA-74448	KORA
KORA-18173	KORA
KORA-24222	KORA
KORA-70524	KORA
KORA-37875	KORA
KORA-48435	KORA
KORA-30089	KORA
KORA-22423	KORA
KORA-91977	KORA
KORA-83995	KORA
KORA-73796	KORA
KORA-17180	KORA
KORA-77616	KORA
KORA-25045	KORA
KORA-27555	KORA
KORA-62613	KORA
KORA-75607	KORA
KORA-21625	KORA
KORA-25756	KORA
KORA-21267	KORA
KORA-46071	KORA
KORA-40430	KORA
KORA-44539	KORA
KORA-42962	KORA
KORA-50472	KORA
KORA-69277	KORA
KORA-32120	KORA
KORA-39623	KORA
KORA-16569	KORA
KORA-96230	KORA
KORA-87243	KORA
KORA-45989	KORA
KORA-27305	KORA
KORA-93875	KORA
KORA-18902	KORA
KORA-88593	KORA
KORA-80428	KORA
KORA-30078	KORA
KORA-56300	KORA
KORA-20421	KORA
KORA-39866	KORA
KORA-51239	KORA
KORA-80523	KORA
KORA-28732	KORA
KORA-28328	KORA
KORA-35510	KORA
KORA-80656	KORA
KORA-99403	KORA
KORA-76456	KORA
KORA-69330	KORA
KORA-32945	KORA
KORA-16446	KORA
KORA-88961	KORA
KORA-36797	KORA
KORA-21748	KORA
KORA-11848	KORA
KORA-84048	KORA
KORA-14257	KORA
KORA-75378	KORA
KORA-22389	KORA
KORA-79142	KORA
KORA-99101	KORA
KORA-91106	KORA
KORA-15225	KORA
KORA-91145	KORA
KORA-44378	KORA
KORA-94731	KORA
KORA-18036	KORA
KORA-69916	KORA
KORA-90597	KORA
KORA-52391	KORA
KORA-72998	KORA
KORA-22203	KORA
KORA-93912	KORA
KORA-39361	KORA
KORA-96312	KORA
KORA-55554	KORA
KORA-21507	KORA
KORA-36471	KORA
KORA-46833	KORA
KORA-71463	KORA
KORA-88359	KORA
KORA-86992	KORA
KORA-42817	KORA
KORA-17309	KORA
KORA-74665	KORA
KORA-47027	KORA
KORA-68726	KORA
KORA-52136	KORA
KORA-50920	KORA
KORA-37290	KORA
KORA-31130	KORA
KORA-76057	KORA
KORA-34674	KORA
KORA-26895	KORA
KORA-34707	KORA
KORA-52968	KORA
KORA-86719	KORA
std16-40	std
std16-38	std
std16-46	std
std19-S181	std
std16-27	std
std17-525517-f-cm164-kg57	std
std17-555017-m-cm180-kg85	std
std17-574117-f-cm165-kg63	std
std18-181	std
std16-18	std
std18-18132	std
std17-597117-m-cm192-kg73	std
std17-533817-f-cm165-kg62	std
std18-18113	std
std18-18181	std
std17-561417-f-cm180-kg64	std
std19-S203	std
std19-S191	std
std19-S202	std
std23-123-74-23	std
std17-574417-m-cm182-kg79	std
std23-118-63-23	std
std16-31	std
std19-S185	std
std17-519117-f-cm162-kg65	std
std18-18152	std
std23-117-60-23	std
std19-S204	std
std17-598517-f-cm160-kg69	std
std17-551317-f-cm169-kg55	std
std23-166-66-23	std
std17-590617-f-cm160-kg60	std
std16-25	std
std18-18114	std
std23-133-89-23	std
std23-141-98-23	std
std17-549017-m-cm178-kg76	std
std16-42	std
std23-145-103-23	std
std18-18102	std
std18-18188	std
std23-140-97-23	std
std16-59	std
std19-S232	std
std18-18202	std
std18-1814	std
std23-130-86-23	std
std17-540917-f-cm174-kg60	std
std17-566217-f-cm164-kg64	std
std17-594717-f-cm174-kg62	std
std18-18111	std
std16-66	std
std19-S188	std
std23-109-27-23	std
std23-121-70-23	std
std16-51	std
std23-152-110-23	std
std23-148-106-23	std
std17-522717-f-cm161-kg56	std
std18-18101	std
std19-S187	std
std19-S190	std
std16-33	std
std19-S197	std
std23-132-88-23	std
std17-524617-f-cm167-kg70	std
std17-578817-f-cm170-kg58	std
std19-S186	std
std16-52	std
std17-582617-f-cm164-kg60	std
std16-67	std
std16-53	std
std17-529917-m-cm178-kg75	std
std19-S228	std
std18-18126	std
std23-164-122-23	std
std19-S205	std
std23-111-47-23	std
std16-61	std
std19-S172	std
std23-116-59-23	std
std18-18147	std
std18-18103	std
std19-S217	std
std17-548217-f-cm161-kg52	std
std16-24	std
std19-S173	std
std16-21	std
std17-583417-m-cm183-kg70	std
std19-S178	std
std17-511417-f-cm165-kg59	std
std16-29	std
std17-568417-m-cm190-kg80	std
std19-S214	std
std17-531817-f-cm171-kg60	std
std18-18177	std
std17-515017-m-cm172-kg67	std
std17-567717-m-cm190-kg70	std
std17-589017-f-cm158-kg52	std
std17-592417-f-cm166-kg53	std
std18-18215	std
std18-18142	std
std23-108-21-23	std
std23-144-102-23	std
std18-18168	std
std16-34	std
std16-19	std
std18-18119	std
std19-S201	std
std18-18178	std
std19-S207	std
std19-S224	std
std23-149-107-23	std
std18-18204	std
