	305-5-16641	304-4-78826	302-2-89334	306-6-83608	301-1-59020	taxonomy
Zotu79	149.455651560571	0	0	61.0819385690638	17	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;SOTU170
Zotu80	0	49.6604429800476	40.0772426327405	0	85	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeUCG-004;SOTU1115
Zotu81	0	0	5.1007399714397	0	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter;SOTU1018
Zotu82	86.1102098395345	0	30.6044398286382	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Shuttleworthia;SOTU1489
Zotu83	19.795450537824	0	58.294171102168	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumventriosumgroup;SOTU1019
Zotu84	0	0	0	69.6850285083686	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;GOTU134;SOTU1678
Zotu85	464.203315111973	0	0	196.150450616149	118	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU859
Zotu86	0	9.41835987552627	27.6897312735298	232.283428361229	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;SOTU1206
Zotu87	0	0	0	0	63	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;SOTU782
Zotu88	294.952213013578	5.99350173897126	0	0	11	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;SOTU700
Zotu89	48.4988538176688	36.8172249679663	21.1316370245359	16.3458708846791	31	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;SOTU322
Zotu90	568.129430435549	0	12.3875113592107	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;SOTU366
Zotu91	0	38.5296540362438	0	42.1551407025933	19	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU765
Zotu92	151.435196614354	21.4053633534688	0	0	758	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;SOTU43
Zotu93	0	27.3988650924401	61.2088796572764	11.1840169210962	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;SOTU499
Zotu94	0	14.5556470803588	0	23.2283428361229	11	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;SOTU692
Zotu95	485.97831070358	37.6734395021051	0	0	239	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU275
Zotu96	0	0	53.9221082695054	7.74278094537429	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;SOTU1498
Zotu97	20.7852230647152	0	16.0308970530962	0	11	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;GOTU167;SOTU1692
Zotu98	1121.41227296773	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;SOTU42
Zotu99	0	0	349.765026613008	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU852
Zotu100	13.8568153764768	4.28107267069376	0	33.5520507632886	0	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;ChristensenellaceaeR-7group;SOTU377
Zotu101	58.3965790865809	0	53.9221082695054	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;GOTU323;SOTU1306
Zotu102	23.7545406453888	30.8237232289951	72.86771387771	40.4345227147324	33	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeUCG-010;SOTU1491
Zotu103	0	0	0	35.2726687511495	74	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;SOTU163
Zotu104	0	0	0	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;GOTU250;SOTU1460
Zotu105	0	66.7847336628226	0	0	18	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeUCG-001;SOTU76
Zotu106	127.680655968965	0	0	0	34	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU851
Zotu107	20.7852230647152	9.41835987552627	0	24.0886518300533	22	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeFCS020group;SOTU776
Zotu108	0	20.54914881933	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;SOTU1070
Zotu109	0	0	40.8059197715176	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;SOTU262
Zotu110	0	52.2290865824639	0	30.9711237814971	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;SOTU689
Zotu111	66.3147593017105	0	0	0	67	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;SOTU37
Zotu112	49.48862634456	10.274574409665	43.720628326626	0	9	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumhalliigroup;SOTU18
Zotu113	0	0	0	355.307614493287	0	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;ChristensenellaceaeR-7group;SOTU383
Zotu114	47.5090812907776	0	18.2169284694275	0	16	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcusgnavusgroup;SOTU354
